location,date,epiweek,epiyear,population,count,weekly_rate
Illinois,2024-01-06,1,2024,12563096,1497,11.915852589202535
Indiana,2024-01-06,1,2024,6831941,795,11.636517352828427
Iowa,2024-01-06,1,2024,3200224,371,11.592938494305399
Kansas,2024-01-06,1,2024,2916451,374,12.823805371665769
Kentucky,2024-01-06,1,2024,4494379,543,12.08175812498234
Louisiana,2024-01-06,1,2024,4575074,414,9.04903396098074
Maine,2024-01-06,1,2024,1384543,147,10.617221711423914
Maryland,2024-01-06,1,2024,6133130,599,9.76662813278049
Massachusetts,2024-01-06,1,2024,6978662,1020,14.615982261356116
Michigan,2024-01-06,1,2024,10032075,1252,12.479970494638447
Minnesota,2024-01-06,1,2024,5716548,539,9.428767151084886
Mississippi,2024-01-06,1,2024,2927305,226,7.7204117780689065
Missouri,2024-01-06,1,2024,6164537,840,13.62632749223502
Montana,2024-01-06,1,2024,1119563,126,11.254391222289412
Nebraska,2024-01-06,1,2024,1961505,217,11.062933818674946
Nevada,2024-01-06,1,2024,3165539,247,7.802778610530466
New Hampshire,2024-01-06,1,2024,1394692,183,13.121176575186492
New Jersey,2024-01-06,1,2024,9254137,1442,15.582220146513933
New Mexico,2024-01-06,1,2024,2100079,110,5.237898193353678
New York,2024-01-06,1,2024,19657190,3272,16.645308917500415
North Carolina,2024-01-06,1,2024,10596562,844,7.964847466565099
North Dakota,2024-01-06,1,2024,772061,77,9.973305218111005
Ohio,2024-01-06,1,2024,11749303,1495,12.724159041604425
Oklahoma,2024-01-06,1,2024,4001266,379,9.472002111331763
Oregon,2024-01-06,1,2024,4238665,304,7.1720695077341565
Pennsylvania,2024-01-06,1,2024,12969276,1627,12.54503335421345
Puerto Rico,2024-01-06,1,2024,3221789,153,4.748914345414923
Rhode Island,2024-01-06,1,2024,1090390,140,12.839442768183861
South Carolina,2024-01-06,1,2024,5246039,556,10.59847248562201
South Dakota,2024-01-06,1,2024,906458,119,13.128021375507746
Tennessee,2024-01-06,1,2024,7030607,746,10.610748118903532
Texas,2024-01-06,1,2024,29914599,2268,7.581582490876779
US,2024-01-06,1,2024,332200066,35506,10.688137551423605
Utah,2024-01-06,1,2024,3376238,255,7.552785082094331
Vermont,2024-01-06,1,2024,646910,64,9.893184523349461
Virginia,2024-01-06,1,2024,8583866,1004,11.69636152288491
Washington,2024-01-06,1,2024,7735834,433,5.597327967482239
West Virginia,2024-01-06,1,2024,1774977,346,19.493210334556448
Wisconsin,2024-01-06,1,2024,5891022,720,12.221987967452845
Wyoming,2024-01-06,1,2024,578583,39,6.740605928622168
Alabama,2024-01-13,2,2024,5063778,478,9.439592335998933
Alaska,2024-01-13,2,2024,711426,37,5.200822011003253
Arizona,2024-01-13,2,2024,7341018,576,7.846323221111841
Arkansas,2024-01-13,2,2024,3041878,295,9.697956328294561
California,2024-01-13,2,2024,38886551,3312,8.517083451293995
Colorado,2024-01-13,2,2024,5803748,440,7.581307803164438
Connecticut,2024-01-13,2,2024,3621089,482,13.310912822081976
Delaware,2024-01-13,2,2024,1014872,109,10.740270694235333
District of Columbia,2024-01-13,2,2024,668576,106,15.85459244723113
Florida,2024-01-13,2,2024,22183852,2070,9.331111657254114
Georgia,2024-01-13,2,2024,10855454,971,8.944812441745873
Hawaii,2024-01-13,2,2024,1398977,108,7.7199267750649225
Idaho,2024-01-13,2,2024,1935521,168,8.679833491860848
Illinois,2024-01-13,2,2024,12563096,1264,10.061214210255178
Indiana,2024-01-13,2,2024,6831941,669,9.792239130870714
Iowa,2024-01-13,2,2024,3200224,269,8.405661603687742
Kansas,2024-01-13,2,2024,2916451,279,9.566421654264035
Kentucky,2024-01-13,2,2024,4494379,497,11.058257436678126
Louisiana,2024-01-13,2,2024,4575074,393,8.590024991945485
Maine,2024-01-13,2,2024,1384543,111,8.017085782095608
Maryland,2024-01-13,2,2024,6133130,519,8.462237063293946
Massachusetts,2024-01-13,2,2024,6978662,945,13.541277683315226
Michigan,2024-01-13,2,2024,10032075,1070,10.665789480242124
Minnesota,2024-01-13,2,2024,5716548,475,8.309210383609129
Mississippi,2024-01-13,2,2024,2927305,235,8.027861804629172
Missouri,2024-01-13,2,2024,6164537,746,12.10147655858015
Montana,2024-01-13,2,2024,1119563,111,9.914582743445434
Nebraska,2024-01-13,2,2024,1961505,162,8.2589644176283
Nevada,2024-01-13,2,2024,3165539,221,6.981433493632522
New Hampshire,2024-01-13,2,2024,1394692,135,9.679556489891675
New Jersey,2024-01-13,2,2024,9254137,1312,14.177443018187434
New Mexico,2024-01-13,2,2024,2100079,50,2.380862815160763
New York,2024-01-13,2,2024,19657190,2906,14.783394778195662
North Carolina,2024-01-13,2,2024,10596562,870,8.210210066246015
North Dakota,2024-01-13,2,2024,772061,59,7.641883219072068
Ohio,2024-01-13,2,2024,11749303,1237,10.528284103320852
Oklahoma,2024-01-13,2,2024,4001266,341,8.522302691198236
Oregon,2024-01-13,2,2024,4238665,258,6.086822148011225
Pennsylvania,2024-01-13,2,2024,12969276,1410,10.871848204942204
Puerto Rico,2024-01-13,2,2024,3221789,182,5.649035365134091
Rhode Island,2024-01-13,2,2024,1090390,122,11.188657269417364
South Carolina,2024-01-13,2,2024,5246039,474,9.035388414001497
South Dakota,2024-01-13,2,2024,906458,99,10.921631228363587
Tennessee,2024-01-13,2,2024,7030607,574,8.1643021719177309
Texas,2024-01-13,2,2024,29914599,2040,6.819412822481759
US,2024-01-13,2,2024,332200066,31529,9.490967409982392
Utah,2024-01-13,2,2024,3376238,198,5.864515475508539
Vermont,2024-01-13,2,2024,646910,48,7.419888392512096
Virginia,2024-01-13,2,2024,8583866,895,10.42653741332868
Washington,2024-01-13,2,2024,7735834,365,4.718301866353388
West Virginia,2024-01-13,2,2024,1774977,265,14.929770920975313
Wisconsin,2024-01-13,2,2024,5891022,534,9.06464107586086
Wyoming,2024-01-13,2,2024,578583,37,6.394933829718467
Alabama,2024-01-20,3,2024,5063778,374,7.385789819379918
Alaska,2024-01-20,3,2024,711426,44,6.184761310382246
Arizona,2024-01-20,3,2024,7341018,483,6.579468951036491
Arkansas,2024-01-20,3,2024,3041878,267,8.777472337812364
California,2024-01-20,3,2024,38886551,3076,7.910189823725946
Colorado,2024-01-20,3,2024,5803748,332,5.720441342387712
Connecticut,2024-01-20,3,2024,3621089,376,10.383616641292164
Delaware,2024-01-20,3,2024,1014872,79,7.784232888482489
District of Columbia,2024-01-20,3,2024,668576,85,12.713588283157039
Florida,2024-01-20,3,2024,22183852,1994,8.9885201181472
Georgia,2024-01-20,3,2024,10855454,918,8.45657860095027
Hawaii,2024-01-20,3,2024,1398977,124,8.863619630630096
Idaho,2024-01-20,3,2024,1935521,104,5.373230256866239
Illinois,2024-01-20,3,2024,12563096,1019,8.111057974881351
