location,date,epiweek,season,epiyear,population,pop_served,count,weekly_rate,type
Connecticut,2022-10-01,39,2021-22,2022,3621089,869061.36,9,1,Crude Rate
Georgia,2022-10-01,39,2021-22,2022,10855454,4233627.0600000005,106,2.5,Crude Rate
Maryland,2022-10-01,39,2021-22,2022,6133130,2821239.8000000003,23,0.8,Crude Rate
Michigan,2022-10-01,39,2021-22,2022,10032075,1304169.75,22,1.7,Crude Rate
Minnesota,2022-10-01,39,2021-22,2022,5716548,3144101.4000000004,50,1.6,Crude Rate
New Mexico,2022-10-01,39,2021-22,2022,2100079,672025.28,5,0.7,Crude Rate
New York,2022-10-01,39,2021-22,2022,19657190,1769147.0999999999,25,1.4,Crude Rate
Oregon,2022-10-01,39,2021-22,2022,4238665,1822625.95,0,0,Crude Rate
Tennessee,2022-10-01,39,2021-22,2022,7030607,1827957.82,20,1.1,Crude Rate
Utah,2022-10-01,39,2021-22,2022,3376238,1215445.68,9,0.7,Crude Rate
California,2022-10-08,40,2022-23,2022,38886551,3499789.59,14,0.4,Crude Rate
