model,date,horizon,location,prediction,quantile,disease
2022-12-17,2023-01-14,4,US,NA,0.3,covid
2022-12-17,2023-01-14,4,US,NA,0.35,covid
2022-12-17,2023-01-14,4,US,NA,0.4,covid
2022-12-17,2023-01-14,4,US,NA,0.45,covid
2022-12-17,2023-01-14,4,US,NA,0.5,covid
2022-12-17,2023-01-14,4,US,NA,0.55,covid
2022-12-17,2023-01-14,4,US,NA,0.6,covid
2022-12-17,2023-01-14,4,US,NA,0.65,covid
2022-12-17,2023-01-14,4,US,NA,0.7,covid
2022-12-17,2023-01-14,4,US,NA,0.75,covid
2022-12-17,2023-01-14,4,US,NA,0.8,covid
2022-12-17,2023-01-14,4,US,NA,0.85,covid
2022-12-17,2023-01-14,4,US,NA,0.9,covid
2022-12-17,2023-01-14,4,US,NA,0.95,covid
2022-12-17,2023-01-14,4,US,NA,0.975,covid
2022-12-17,2023-01-14,4,US,NA,0.99,covid
2023-01-14,2023-01-21,1,US,27708,0.01,covid
2023-01-14,2023-01-21,1,US,28935,0.025,covid
2023-01-14,2023-01-21,1,US,30047,0.05,covid
2023-01-14,2023-01-21,1,US,31513,0.1,covid
2023-01-14,2023-01-21,1,US,32374,0.15,covid
2023-01-14,2023-01-21,1,US,33112,0.2,covid
2023-01-14,2023-01-21,1,US,33797,0.25,covid
2023-01-14,2023-01-21,1,US,34398,0.3,covid
2023-01-14,2023-01-21,1,US,34950,0.35,covid
2023-01-14,2023-01-21,1,US,35511,0.4,covid
2023-01-14,2023-01-21,1,US,36092,0.45,covid
2023-01-14,2023-01-21,1,US,36620,0.5,covid
2023-01-14,2023-01-21,1,US,37201,0.55,covid
2023-01-14,2023-01-21,1,US,37795,0.6,covid
2023-01-14,2023-01-21,1,US,38419,0.65,covid
2023-01-14,2023-01-21,1,US,39075,0.7,covid
2023-01-14,2023-01-21,1,US,39813,0.75,covid
2023-01-14,2023-01-21,1,US,40653,0.8,covid
2023-01-14,2023-01-21,1,US,41772,0.85,covid
2023-01-14,2023-01-21,1,US,42931,0.9,covid
2023-01-14,2023-01-21,1,US,44936,0.95,covid
2023-01-14,2023-01-21,1,US,46684,0.975,covid
2023-01-14,2023-01-21,1,US,49355,0.99,covid
2023-01-14,2023-01-28,2,US,22490,0.01,covid
2023-01-14,2023-01-28,2,US,24010,0.025,covid
2023-01-14,2023-01-28,2,US,25255,0.05,covid
2023-01-14,2023-01-28,2,US,27029,0.1,covid
2023-01-14,2023-01-28,2,US,28230,0.15,covid
2023-01-14,2023-01-28,2,US,29192,0.2,covid
2023-01-14,2023-01-28,2,US,30064,0.25,covid
2023-01-14,2023-01-28,2,US,30959,0.3,covid
2023-01-14,2023-01-28,2,US,31732,0.35,covid
2023-01-14,2023-01-28,2,US,32420,0.4,covid
2023-01-14,2023-01-28,2,US,33096,0.45,covid
2023-01-14,2023-01-28,2,US,33885,0.5,covid
2023-01-14,2023-01-28,2,US,34598,0.55,covid
2023-01-14,2023-01-28,2,US,35468,0.6,covid
2023-01-14,2023-01-28,2,US,36236,0.65,covid
2023-01-14,2023-01-28,2,US,37073,0.7,covid
2023-01-14,2023-01-28,2,US,38064,0.75,covid
2023-01-14,2023-01-28,2,US,39090,0.8,covid
2023-01-14,2023-01-28,2,US,40514,0.85,covid
2023-01-14,2023-01-28,2,US,42385,0.9,covid
2023-01-14,2023-01-28,2,US,44800,0.95,covid
2023-01-14,2023-01-28,2,US,47296,0.975,covid
2023-01-14,2023-01-28,2,US,50959,0.99,covid
2023-01-14,2023-02-04,3,US,18147,0.01,covid
2023-01-14,2023-02-04,3,US,19620,0.025,covid
2023-01-14,2023-02-04,3,US,20871,0.05,covid
2023-01-14,2023-02-04,3,US,22668,0.1,covid
2023-01-14,2023-02-04,3,US,23927,0.15,covid
2023-01-14,2023-02-04,3,US,24938,0.2,covid
2023-01-14,2023-02-04,3,US,25846,0.25,covid
2023-01-14,2023-02-04,3,US,26757,0.3,covid
2023-01-14,2023-02-04,3,US,27557,0.35,covid
2023-01-14,2023-02-04,3,US,28356,0.4,covid
2023-01-14,2023-02-04,3,US,29102,0.45,covid
2023-01-14,2023-02-04,3,US,29944,0.5,covid
2023-01-14,2023-02-04,3,US,30785,0.55,covid
2023-01-14,2023-02-04,3,US,31720,0.6,covid
2023-01-14,2023-02-04,3,US,32670,0.65,covid
2023-01-14,2023-02-04,3,US,33555,0.7,covid
2023-01-14,2023-02-04,3,US,34626,0.75,covid
2023-01-14,2023-02-04,3,US,35763,0.8,covid
2023-01-14,2023-02-04,3,US,37099,0.85,covid
2023-01-14,2023-02-04,3,US,39098,0.9,covid
2023-01-14,2023-02-04,3,US,42529,0.95,covid
2023-01-14,2023-02-04,3,US,45417,0.975,covid
2023-01-14,2023-02-04,3,US,49398,0.99,covid
2023-01-14,2023-02-11,4,US,14221,0.01,covid
2023-01-14,2023-02-11,4,US,15729,0.025,covid
2023-01-14,2023-02-11,4,US,16912,0.05,covid
2023-01-14,2023-02-11,4,US,18549,0.1,covid
2023-01-14,2023-02-11,4,US,19698,0.15,covid
2023-01-14,2023-02-11,4,US,20794,0.2,covid
2023-01-14,2023-02-11,4,US,21638,0.25,covid
2023-01-14,2023-02-11,4,US,22524,0.3,covid
2023-01-14,2023-02-11,4,US,23242,0.35,covid
2023-01-14,2023-02-11,4,US,24049,0.4,covid
2023-01-14,2023-02-11,4,US,24808,0.45,covid
2023-01-14,2023-02-11,4,US,25664,0.5,covid
2023-01-14,2023-02-11,4,US,26455,0.55,covid
