model,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,relative_skill,scaled_rel_skill,cov_50,cov_95,wis,mae,rel_wis
FluSight-lop_norm,0,20.227502210554803,10.753363989439006,6.481203791235889,2.9929344298799117,0.07980092899800925,-0.11692103516921053,30.47615500636266,0.6370272063702729,0.9913735899137359,0.7230039555694685,0.7959648803934556,63.7,99.14,20.23,30.48,0.8
FluSight-lop_norm,1,31.718115061927207,15.323283111863455,11.197366003610336,5.197465946453457,0.06447631854176002,-0.14335395189003447,49.16409437124786,0.5869415807560138,0.9903780068728523,0.7331180484942142,0.7469271925725156,58.69,99.04,31.72,49.16,0.75
FluSight-lop_norm,2,41.648378162892605,19.72606440691005,15.781668114477139,6.140645641505444,0.05554618984164378,-0.16427655024946577,65.17559963913227,0.5602280826799725,0.9893086243763364,0.7258942914934212,0.7147225588740618,56.02,98.93,41.65,65.18,0.71
FluSight-lop_norm,3,50.07001626490228,23.759481337523493,20.649240269872106,5.661294657506702,0.05761078750040237,-0.18706143597335284,76.54653597957476,0.5847520355292394,0.9888971132494447,0.7189154460953229,0.7052912859962348,58.48,98.89,50.07,76.55,0.71
GH-model,0,119.07145326319714,2.4850870030723398,116.57946839214227,0.0068978679824970145,-0.5150004655060048,-0.9296788008565313,125.75053533190523,0.04282655246252659,0.06209850107066404,4.0654587878382324,4.475718829584274,4.28,6.21,119.07,125.75,4.48
GH-model,1,145.9462217577507,2.853413825528349,143.08773857182763,0.005069360394749057,-0.5249622940135926,-0.9464668094218418,153.64346895075016,0.03426124197002154,0.04925053533190584,2.580321455241764,2.628924856586134,3.43,4.93,145.95,153.64,2.63
GH-model,2,168.4500893492226,3.4381966018061636,165.0089004748162,0.0029922726003165506,-0.534644818918164,-0.9677730192719485,177.42719486081342,0.027837259100642397,0.03640256959314772,2.086990194867747,2.054870784769729,2.78,3.64,168.45,177.43,2.05
GH-model,3,182.60688281351833,4.1681359556838276,178.4201079973932,0.018638860441299688,-0.532968997300065,-0.9698715203426125,192.96680942184113,0.025695931477516032,0.038543897216274076,1.8495290443931394,1.814478636246276,2.57,3.85,182.61,192.97,1.81
GT-FluFNP,0,32.15599015188765,5.746147222577711,16.732455238608456,9.677387690701485,-0.166883103761829,-0.13745933384972858,43.194837412858234,0.34701781564678447,0.6839659178931076,1.2174971029060915,1.3403591065151692,34.7,68.4,32.16,43.19,1.34
GT-FluFNP,1,52.42844393066603,6.793392856847562,29.63149406159115,16.00355701222712,-0.2183463546228496,-0.16327961321515064,66.7010655922643,0.2941176470588226,0.6043513295729258,1.2260710500627028,1.249165545983688,29.41,60.44,52.43,66.7,1.25
GT-FluFNP,2,69.16877927539883,8.328627758587963,41.64270063884933,19.197450877961483,-0.20816485963567347,-0.1963140218303931,86.1419184718724,0.3190596137699408,0.5961376994122601,1.1878028334102833,1.1695221886733251,31.91,59.61,69.17,86.14,1.17
GT-FluFNP,3,80.37251916937848,9.682978114621044,54.17414609991234,16.515394954845135,-0.22365049727546413,-0.22873794916739756,100.64888808063101,0.30499561787905355,0.5687992988606472,1.117438018523111,1.0962614607681562,30.5,56.88,80.37,100.65,1.1
ISU_NiemiLab-ENS,0,39.33286490788689,11.535604300801989,24.42468077701666,3.372579830068276,-0.12350901719558242,-0.41719185423365474,56.602292096463025,0.36977491961415,0.7706323687031078,1.3168834917345813,1.4497749326489244,36.98,77.06,39.33,56.6,1.45
ISU_NiemiLab-ENS,1,49.8413694802425,12.0764096290302,32.30242734577338,5.462532505438986,-0.1392599841558318,-0.40815648445873576,68.38998698740622,0.37513397642015106,0.7224008574490897,1.0772411152308758,1.0975322235971852,37.51,72.24,49.84,68.39,1.1
ISU_NiemiLab-ENS,2,67.14022808127393,12.7033637892473,46.79572752082114,7.641136771205543,-0.15901859359709228,-0.3969024651661301,88.28045704715969,0.3397642015005379,0.6923901393354787,1.065569001026213,1.0491695719268996,33.98,69.24,67.14,88.28,1.05
ISU_NiemiLab-ENS,3,79.31276256309717,13.580951745193254,55.75831745698559,9.973493360918496,-0.16293303509017212,-0.3847266881028947,103.4825637366024,0.35155412647373835,0.6859592711682755,1.0544984100573882,1.0345146202516664,35.16,68.6,79.31,103.48,1.03
ISU_NiemiLab-NLH,0,35.01467883959575,11.206760502587105,17.416357024407237,6.391561312601405,-0.08822096198277678,-0.21388888888888782,49.6583332851016,0.4178743961352672,0.8148148148148154,1.3746955572291222,1.5134210212244932,41.79,81.48,35.01,49.66,1.51
ISU_NiemiLab-NLH,1,44.007624308575075,11.996489023852448,23.827361437609373,8.183773847113244,-0.11769656234684622,-0.22804347826086793,61.59726853062206,0.3848631239935606,0.7858293075684388,1.132682256917969,1.1540176646505196,38.49,78.58,44.01,61.6,1.15
ISU_NiemiLab-NLH,2,59.43520737348809,13.050951665931319,36.4201435136266,9.964112193930093,-0.14714651077822455,-0.2646806722689087,80.82153423863555,0.3436974789915951,0.7420168067226898,1.0963394943255387,1.0794664980309265,34.37,74.2,59.44,80.82,1.08
ISU_NiemiLab-NLH,3,73.6413275133112,14.544282971494523,47.21491033143059,11.882134210386274,-0.16553373576831923,-0.30053602811950914,98.09285132996486,0.3242530755711768,0.7249560632688941,1.098526099797916,1.0777079416432098,32.43,72.5,73.64,98.09,1.08
ISU_NiemiLab-SIR,0,45.722788706007954,9.940897849961617,31.387081423081337,4.394809432964985,-0.1898254246108719,-0.454385201305767,64.58442313335527,0.2981501632208921,0.7007616974972798,1.597867643169049,1.7591142035701102,29.82,70.08,45.72,64.58,1.76
