location,date,epiweek,epiyear,population,pop_served,count,weekly_rate
Utah,2021-07-17,28,2021,3376238,1215445.68,1,0.1
California,2021-07-24,29,2021,38886551,3499789.59,0,0
Colorado,2021-07-24,29,2021,5803748,2843836.52,20,0.7
Connecticut,2021-07-24,29,2021,3621089,869061.36,7,0.8
Georgia,2021-07-24,29,2021,10855454,4233627.0600000005,59,1.4
Maryland,2021-07-24,29,2021,6133130,2821239.8000000003,20,0.7
Michigan,2021-07-24,29,2021,10032075,1304169.75,8,0.6
Minnesota,2021-07-24,29,2021,5716548,3144101.4000000004,41,1.3
New Mexico,2021-07-24,29,2021,2100079,672025.28,2,0.3
New York,2021-07-24,29,2021,19657190,1769147.0999999999,12,0.7
Oregon,2021-07-24,29,2021,4238665,1822625.95,2,0.1
Tennessee,2021-07-24,29,2021,7030607,1827957.82,44,2.4
Utah,2021-07-24,29,2021,3376238,1215445.68,5,0.4
California,2021-07-31,30,2021,38886551,3499789.59,3,0.1
Colorado,2021-07-31,30,2021,5803748,2843836.52,14,0.5
Connecticut,2021-07-31,30,2021,3621089,869061.36,10,1.2
Georgia,2021-07-31,30,2021,10855454,4233627.0600000005,55,1.3
Maryland,2021-07-31,30,2021,6133130,2821239.8000000003,23,0.8
Michigan,2021-07-31,30,2021,10032075,1304169.75,5,0.4
Minnesota,2021-07-31,30,2021,5716548,3144101.4000000004,41,1.3
New Mexico,2021-07-31,30,2021,2100079,672025.28,2,0.3
New York,2021-07-31,30,2021,19657190,1769147.0999999999,16,0.9
Oregon,2021-07-31,30,2021,4238665,1822625.95,0,0
Tennessee,2021-07-31,30,2021,7030607,1827957.82,27,1.5
Utah,2021-07-31,30,2021,3376238,1215445.68,4,0.3
California,2021-08-07,31,2021,38886551,3499789.59,3,0.1
Colorado,2021-08-07,31,2021,5803748,2843836.52,17,0.6
Connecticut,2021-08-07,31,2021,3621089,869061.36,13,1.5
Georgia,2021-08-07,31,2021,10855454,4233627.0600000005,59,1.4
Maryland,2021-08-07,31,2021,6133130,2821239.8000000003,17,0.6
Michigan,2021-08-07,31,2021,10032075,1304169.75,22,1.7
Minnesota,2021-08-07,31,2021,5716548,3144101.4000000004,57,1.8
New Mexico,2021-08-07,31,2021,2100079,672025.28,4,0.6
New York,2021-08-07,31,2021,19657190,1769147.0999999999,19,1.1
Oregon,2021-08-07,31,2021,4238665,1822625.95,2,0.1
Tennessee,2021-08-07,31,2021,7030607,1827957.82,24,1.3
Utah,2021-08-07,31,2021,3376238,1215445.68,6,0.5
California,2021-08-14,32,2021,38886551,3499789.59,7,0.2
Colorado,2021-08-14,32,2021,5803748,2843836.52,20,0.7
Connecticut,2021-08-14,32,2021,3621089,869061.36,10,1.1
Georgia,2021-08-14,32,2021,10855454,4233627.0600000005,64,1.5
Maryland,2021-08-14,32,2021,6133130,2821239.8000000003,20,0.7
Michigan,2021-08-14,32,2021,10032075,1304169.75,5,0.4
Minnesota,2021-08-14,32,2021,5716548,3144101.4000000004,63,2
New Mexico,2021-08-14,32,2021,2100079,672025.28,3,0.4
New York,2021-08-14,32,2021,19657190,1769147.0999999999,16,0.9
Oregon,2021-08-14,32,2021,4238665,1822625.95,0,0
Tennessee,2021-08-14,32,2021,7030607,1827957.82,18,1
Utah,2021-08-14,32,2021,3376238,1215445.68,11,0.9
California,2021-08-21,33,2021,38886551,3499789.59,3,0.1
Colorado,2021-08-21,33,2021,5803748,2843836.52,28,1
Connecticut,2021-08-21,33,2021,3621089,869061.36,16,1.8
Georgia,2021-08-21,33,2021,10855454,4233627.0600000005,59,1.4
Maryland,2021-08-21,33,2021,6133130,2821239.8000000003,20,0.7
Michigan,2021-08-21,33,2021,10032075,1304169.75,8,0.6
Minnesota,2021-08-21,33,2021,5716548,3144101.4000000004,50,1.6
New Mexico,2021-08-21,33,2021,2100079,672025.28,2,0.3
New York,2021-08-21,33,2021,19657190,1769147.0999999999,11,0.6
Oregon,2021-08-21,33,2021,4238665,1822625.95,2,0.1
Tennessee,2021-08-21,33,2021,7030607,1827957.82,16,0.9
Utah,2021-08-21,33,2021,3376238,1215445.68,6,0.5
California,2021-08-28,34,2021,38886551,3499789.59,3,0.1
Colorado,2021-08-28,34,2021,5803748,2843836.52,31,1.1
Connecticut,2021-08-28,34,2021,3621089,869061.36,13,1.5
Georgia,2021-08-28,34,2021,10855454,4233627.0600000005,42,1
Maryland,2021-08-28,34,2021,6133130,2821239.8000000003,23,0.8
Michigan,2021-08-28,34,2021,10032075,1304169.75,10,0.8
Minnesota,2021-08-28,34,2021,5716548,3144101.4000000004,50,1.6
New Mexico,2021-08-28,34,2021,2100079,672025.28,3,0.4
New York,2021-08-28,34,2021,19657190,1769147.0999999999,21,1.2
Oregon,2021-08-28,34,2021,4238665,1822625.95,4,0.2
Tennessee,2021-08-28,34,2021,7030607,1827957.82,27,1.5
Utah,2021-08-28,34,2021,3376238,1215445.68,15,1.2
California,2021-09-04,35,2021,38886551,3499789.59,3,0.1
Colorado,2021-09-04,35,2021,5803748,2843836.52,26,0.9
Connecticut,2021-09-04,35,2021,3621089,869061.36,14,1.6
Georgia,2021-09-04,35,2021,10855454,4233627.0600000005,51,1.2
Maryland,2021-09-04,35,2021,6133130,2821239.8000000003,17,0.6
Michigan,2021-09-04,35,2021,10032075,1304169.75,13,1
Minnesota,2021-09-04,35,2021,5716548,3144101.4000000004,60,1.9
New Mexico,2021-09-04,35,2021,2100079,672025.28,5,0.7
New York,2021-09-04,35,2021,19657190,1769147.0999999999,39,2.2
