model,date,location,horizon,prediction,true_value,quantile
flu,2022-10-01,Maryland,3,6,7,0.75
flu,2022-10-01,Maryland,3,13,7,0.975
flu,2022-10-08,Maryland,4,0,17,0.025
flu,2022-10-08,Maryland,4,2,17,0.25
flu,2022-10-08,Maryland,4,4,17,0.5
flu,2022-10-08,Maryland,4,7,17,0.75
flu,2022-10-08,Maryland,4,14,17,0.975
flu,2022-09-17,Massachusetts,1,1,3,0.025
flu,2022-09-17,Massachusetts,1,4,3,0.25
flu,2022-09-17,Massachusetts,1,6,3,0.5
flu,2022-09-17,Massachusetts,1,8,3,0.75
flu,2022-09-17,Massachusetts,1,15,3,0.975
flu,2022-09-24,Massachusetts,2,1,4,0.025
flu,2022-09-24,Massachusetts,2,4,4,0.25
flu,2022-09-24,Massachusetts,2,6,4,0.5
flu,2022-09-24,Massachusetts,2,9,4,0.75
flu,2022-09-24,Massachusetts,2,17,4,0.975
flu,2022-10-01,Massachusetts,3,1,4,0.025
flu,2022-10-01,Massachusetts,3,4,4,0.25
flu,2022-10-01,Massachusetts,3,6,4,0.5
flu,2022-10-01,Massachusetts,3,9,4,0.75
flu,2022-10-01,Massachusetts,3,19,4,0.975
flu,2022-10-08,Massachusetts,4,1,6,0.025
flu,2022-10-08,Massachusetts,4,4,6,0.25
flu,2022-10-08,Massachusetts,4,6,6,0.5
flu,2022-10-08,Massachusetts,4,10,6,0.75
flu,2022-10-08,Massachusetts,4,22,6,0.975
flu,2022-09-17,Michigan,1,1,2,0.025
flu,2022-09-17,Michigan,1,3,2,0.25
flu,2022-09-17,Michigan,1,5,2,0.5
flu,2022-09-17,Michigan,1,7,2,0.75
flu,2022-09-17,Michigan,1,13,2,0.975
flu,2022-09-24,Michigan,2,1,7,0.025
flu,2022-09-24,Michigan,2,3,7,0.25
flu,2022-09-24,Michigan,2,5,7,0.5
flu,2022-09-24,Michigan,2,8,7,0.75
flu,2022-09-24,Michigan,2,15,7,0.975
flu,2022-10-01,Michigan,3,1,4,0.025
flu,2022-10-01,Michigan,3,3,4,0.25
flu,2022-10-01,Michigan,3,5,4,0.5
flu,2022-10-01,Michigan,3,8,4,0.75
flu,2022-10-01,Michigan,3,17,4,0.975
flu,2022-10-08,Michigan,4,1,12,0.025
flu,2022-10-08,Michigan,4,3,12,0.25
flu,2022-10-08,Michigan,4,6,12,0.5
flu,2022-10-08,Michigan,4,9,12,0.75
flu,2022-10-08,Michigan,4,19,12,0.975
flu,2022-09-17,Minnesota,1,0,0,0.025
flu,2022-09-17,Minnesota,1,1,0,0.25
flu,2022-09-17,Minnesota,1,1,0,0.5
flu,2022-09-17,Minnesota,1,3,0,0.75
flu,2022-09-17,Minnesota,1,5,0,0.975
flu,2022-09-24,Minnesota,2,0,2,0.025
flu,2022-09-24,Minnesota,2,1,2,0.25
flu,2022-09-24,Minnesota,2,1,2,0.5
flu,2022-09-24,Minnesota,2,3,2,0.75
flu,2022-09-24,Minnesota,2,6,2,0.975
flu,2022-10-01,Minnesota,3,0,2,0.025
flu,2022-10-01,Minnesota,3,1,2,0.25
flu,2022-10-01,Minnesota,3,2,2,0.5
flu,2022-10-01,Minnesota,3,3,2,0.75
flu,2022-10-01,Minnesota,3,7,2,0.975
flu,2022-10-08,Minnesota,4,0,12,0.025
flu,2022-10-08,Minnesota,4,1,12,0.25
flu,2022-10-08,Minnesota,4,2,12,0.5
flu,2022-10-08,Minnesota,4,3,12,0.75
flu,2022-10-08,Minnesota,4,8,12,0.975
flu,2022-09-17,Mississippi,1,7,36,0.025
flu,2022-09-17,Mississippi,1,13,36,0.25
flu,2022-09-17,Mississippi,1,18,36,0.5
flu,2022-09-17,Mississippi,1,23,36,0.75
flu,2022-09-17,Mississippi,1,37,36,0.975
flu,2022-09-24,Mississippi,2,5,20,0.025
flu,2022-09-24,Mississippi,2,12,20,0.25
flu,2022-09-24,Mississippi,2,17,20,0.5
flu,2022-09-24,Mississippi,2,24,20,0.75
flu,2022-09-24,Mississippi,2,42,20,0.975
flu,2022-10-01,Mississippi,3,5,29,0.025
flu,2022-10-01,Mississippi,3,12,29,0.25
flu,2022-10-01,Mississippi,3,17,29,0.5
flu,2022-10-01,Mississippi,3,25,29,0.75
flu,2022-10-01,Mississippi,3,50,29,0.975
