model,date,location,horizon,prediction,true_value,quantile
covid,2022-10-01,Indiana,3,1063,355,0.975
covid,2022-10-08,Indiana,4,278,388,0.025
covid,2022-10-08,Indiana,4,446,388,0.25
covid,2022-10-08,Indiana,4,566,388,0.5
covid,2022-10-08,Indiana,4,719,388,0.75
covid,2022-10-08,Indiana,4,1123,388,0.975
covid,2022-09-17,Iowa,1,225,290,0.025
covid,2022-09-17,Iowa,1,288,290,0.25
covid,2022-09-17,Iowa,1,325,290,0.5
covid,2022-09-17,Iowa,1,367,290,0.75
covid,2022-09-17,Iowa,1,462,290,0.975
covid,2022-09-24,Iowa,2,192,222,0.025
covid,2022-09-24,Iowa,2,265,222,0.25
covid,2022-09-24,Iowa,2,314,222,0.5
covid,2022-09-24,Iowa,2,370,222,0.75
covid,2022-09-24,Iowa,2,502,222,0.975
covid,2022-10-01,Iowa,3,168,238,0.025
covid,2022-10-01,Iowa,3,246,238,0.25
covid,2022-10-01,Iowa,3,301,238,0.5
covid,2022-10-01,Iowa,3,364,238,0.75
covid,2022-10-01,Iowa,3,532,238,0.975
covid,2022-10-08,Iowa,4,151,200,0.025
covid,2022-10-08,Iowa,4,229,200,0.25
covid,2022-10-08,Iowa,4,291,200,0.5
covid,2022-10-08,Iowa,4,362,200,0.75
covid,2022-10-08,Iowa,4,551,200,0.975
covid,2022-09-17,Kansas,1,155,236,0.025
covid,2022-09-17,Kansas,1,203,236,0.25
covid,2022-09-17,Kansas,1,231,236,0.5
covid,2022-09-17,Kansas,1,263,236,0.75
covid,2022-09-17,Kansas,1,334,236,0.975
covid,2022-09-24,Kansas,2,132,243,0.025
covid,2022-09-24,Kansas,2,188,243,0.25
covid,2022-09-24,Kansas,2,225,243,0.5
covid,2022-09-24,Kansas,2,270,243,0.75
covid,2022-09-24,Kansas,2,371,243,0.975
covid,2022-10-01,Kansas,3,116,171,0.025
covid,2022-10-01,Kansas,3,178,171,0.25
covid,2022-10-01,Kansas,3,220,171,0.5
covid,2022-10-01,Kansas,3,270,171,0.75
covid,2022-10-01,Kansas,3,401,171,0.975
covid,2022-10-08,Kansas,4,104,166,0.025
covid,2022-10-08,Kansas,4,167,166,0.25
covid,2022-10-08,Kansas,4,214,166,0.5
covid,2022-10-08,Kansas,4,271,166,0.75
covid,2022-10-08,Kansas,4,426,166,0.975
covid,2022-09-17,Kentucky,1,495,544,0.025
covid,2022-09-17,Kentucky,1,614,544,0.25
covid,2022-09-17,Kentucky,1,684,544,0.5
covid,2022-09-17,Kentucky,1,767,544,0.75
covid,2022-09-17,Kentucky,1,948,544,0.975
covid,2022-09-24,Kentucky,2,427,498,0.025
covid,2022-09-24,Kentucky,2,572,498,0.25
covid,2022-09-24,Kentucky,2,667,498,0.5
covid,2022-09-24,Kentucky,2,774,498,0.75
covid,2022-09-24,Kentucky,2,1043,498,0.975
covid,2022-10-01,Kentucky,3,373,383,0.025
covid,2022-10-01,Kentucky,3,536,383,0.25
covid,2022-10-01,Kentucky,3,646,383,0.5
covid,2022-10-01,Kentucky,3,775,383,0.75
covid,2022-10-01,Kentucky,3,1118,383,0.975
covid,2022-10-08,Kentucky,4,331,349,0.025
covid,2022-10-08,Kentucky,4,506,349,0.25
covid,2022-10-08,Kentucky,4,628,349,0.5
covid,2022-10-08,Kentucky,4,780,349,0.75
covid,2022-10-08,Kentucky,4,1170,349,0.975
covid,2022-09-17,Louisiana,1,348,484,0.025
covid,2022-09-17,Louisiana,1,449,484,0.25
covid,2022-09-17,Louisiana,1,513,484,0.5
covid,2022-09-17,Louisiana,1,582,484,0.75
covid,2022-09-17,Louisiana,1,745,484,0.975
covid,2022-09-24,Louisiana,2,287,441,0.025
covid,2022-09-24,Louisiana,2,410,441,0.25
covid,2022-09-24,Louisiana,2,494,441,0.5
covid,2022-09-24,Louisiana,2,594,441,0.75
covid,2022-09-24,Louisiana,2,831,441,0.975
covid,2022-10-01,Louisiana,3,245,361,0.025
