location,date,epiweek,epiyear,population,count,weekly_rate
Massachusetts,2020-11-28,48,2020,6978662,1,0.014329394373878545
Michigan,2020-11-28,48,2020,10032075,5,0.049840137758140765
Minnesota,2020-11-28,48,2020,5716548,1,0.017493074491808692
Mississippi,2020-11-28,48,2020,2927305,12,0.4099333687470216
Missouri,2020-11-28,48,2020,6164537,16,0.25954909509019086
Montana,2020-11-28,48,2020,1119563,0,0
Nebraska,2020-11-28,48,2020,1961505,0,0
Nevada,2020-11-28,48,2020,3165539,9,0.2843117712339036
New Hampshire,2020-11-28,48,2020,1394692,0,0
New Jersey,2020-11-28,48,2020,9254137,4,0.04322391164081535
New Mexico,2020-11-28,48,2020,2100079,1,0.04761725630321526
New York,2020-11-28,48,2020,19657190,20,0.1017439420385111
North Carolina,2020-11-28,48,2020,10596562,13,0.12268129984045768
North Dakota,2020-11-28,48,2020,772061,1,0.129523444391052
Ohio,2020-11-28,48,2020,11749303,4,0.03404457268656703
Oklahoma,2020-11-28,48,2020,4001266,13,0.32489717004568053
Oregon,2020-11-28,48,2020,4238665,2,0.04718466781404051
Pennsylvania,2020-11-28,48,2020,12969276,3,0.023131591925408944
Puerto Rico,2020-11-28,48,2020,3221789,22,0.6828504287524726
Rhode Island,2020-11-28,48,2020,1090390,0,0
South Carolina,2020-11-28,48,2020,5246039,6,0.11437200524052528
South Dakota,2020-11-28,48,2020,906458,0,0
Tennessee,2020-11-28,48,2020,7030607,32,0.4551527343229397
Texas,2020-11-28,48,2020,29914599,157,0.5248273593772727
US,2020-11-28,48,2020,332200066,589,0.17730279439498967
Utah,2020-11-28,48,2020,3376238,0,0
Vermont,2020-11-28,48,2020,646910,0,0
Virginia,2020-11-28,48,2020,8583866,33,0.384442161608767
Washington,2020-11-28,48,2020,7735834,3,0.038780563285096346
West Virginia,2020-11-28,48,2020,1774977,4,0.2253550327694387
Wisconsin,2020-11-28,48,2020,5891022,4,0.06789993315251582
Wyoming,2020-11-28,48,2020,578583,0,0
Alabama,2020-12-05,49,2020,5063778,11,0.21722911233470346
Alaska,2020-12-05,49,2020,711426,2,0.2811255141082839
Arizona,2020-12-05,49,2020,7341018,19,0.2588196895852864
Arkansas,2020-12-05,49,2020,3041878,7,0.23012099762054888
California,2020-12-05,49,2020,38886551,47,0.12086440888007785
Colorado,2020-12-05,49,2020,5803748,2,0.03446049001438381
Connecticut,2020-12-05,49,2020,3621089,2,0.05523200341112853
Delaware,2020-12-05,49,2020,1014872,0,0
District of Columbia,2020-12-05,49,2020,668576,0,0
Florida,2020-12-05,49,2020,22183852,32,0.14424906909764815
Georgia,2020-12-05,49,2020,10855454,7,0.06448371482206088
Hawaii,2020-12-05,49,2020,1398977,0,0
Idaho,2020-12-05,49,2020,1935521,1,0.05166567554679076
Illinois,2020-12-05,49,2020,12563096,6,0.04775892821323661
Indiana,2020-12-05,49,2020,6831941,3,0.04391138623708841
Iowa,2020-12-05,49,2020,3200224,5,0.1562390632655714
Kansas,2020-12-05,49,2020,2916451,7,0.24001774759802239
Kentucky,2020-12-05,49,2020,4494379,20,0.44500029926270124
Louisiana,2020-12-05,49,2020,4575074,5,0.1092878497702988
Maine,2020-12-05,49,2020,1384543,0,0
Maryland,2020-12-05,49,2020,6133130,0,0
Massachusetts,2020-12-05,49,2020,6978662,3,0.04298818312163564
Michigan,2020-12-05,49,2020,10032075,8,0.07974422041302522
Minnesota,2020-12-05,49,2020,5716548,1,0.017493074491808692
Mississippi,2020-12-05,49,2020,2927305,11,0.37577225468476977
Missouri,2020-12-05,49,2020,6164537,15,0.24332727664705395
Montana,2020-12-05,49,2020,1119563,0,0
Nebraska,2020-12-05,49,2020,1961505,1,0.05098126183721173
Nevada,2020-12-05,49,2020,3165539,7,0.22113137762636947
New Hampshire,2020-12-05,49,2020,1394692,0,0
New Jersey,2020-12-05,49,2020,9254137,14,0.15128369074285372
New Mexico,2020-12-05,49,2020,2100079,0,0
New York,2020-12-05,49,2020,19657190,22,0.1119183362423622
North Carolina,2020-12-05,49,2020,10596562,7,0.06605916145255414
North Dakota,2020-12-05,49,2020,772061,2,0.259046888782104
Ohio,2020-12-05,49,2020,11749303,7,0.05957800220149229
Oklahoma,2020-12-05,49,2020,4001266,21,0.5248338900737917
Oregon,2020-12-05,49,2020,4238665,0,0
Pennsylvania,2020-12-05,49,2020,12969276,16,0.12336849026884769
Puerto Rico,2020-12-05,49,2020,3221789,10,0.31038655852385116
Rhode Island,2020-12-05,49,2020,1090390,0,0
South Carolina,2020-12-05,49,2020,5246039,8,0.15249600698736704
South Dakota,2020-12-05,49,2020,906458,1,0.11031950735720794
Tennessee,2020-12-05,49,2020,7030607,20,0.2844704589518373
Texas,2020-12-05,49,2020,29914599,199,0.66522703513425
US,2020-12-05,49,2020,332200066,588,0.17700177097496422
Utah,2020-12-05,49,2020,3376238,0,0
Vermont,2020-12-05,49,2020,646910,0,0
Virginia,2020-12-05,49,2020,8583866,27,0.31454358677080935
Washington,2020-12-05,49,2020,7735834,3,0.038780563285096346
West Virginia,2020-12-05,49,2020,1774977,9,0.507048823731237
Wisconsin,2020-12-05,49,2020,5891022,0,0
Wyoming,2020-12-05,49,2020,578583,0,0
Alabama,2020-12-12,50,2020,5063778,3,0.059244303364010036
Alaska,2020-12-12,50,2020,711426,4,0.5622510282165678
Arizona,2020-12-12,50,2020,7341018,33,0.44952893454286585
Arkansas,2020-12-12,50,2020,3041878,12,0.3944931387780838
California,2020-12-12,50,2020,38886551,54,0.13886549105370646
Colorado,2020-12-12,50,2020,5803748,5,0.08615122503595952
Connecticut,2020-12-12,50,2020,3621089,0,0
Delaware,2020-12-12,50,2020,1014872,0,0
District of Columbia,2020-12-12,50,2020,668576,0,0
Florida,2020-12-12,50,2020,22183852,38,0.17129576955345718
Georgia,2020-12-12,50,2020,10855454,16,0.14739134816471056
Hawaii,2020-12-12,50,2020,1398977,0,0
Idaho,2020-12-12,50,2020,1935521,1,0.05166567554679076
Illinois,2020-12-12,50,2020,12563096,2,0.015919642737745536
Indiana,2020-12-12,50,2020,6831941,6,0.08782277247417682
Iowa,2020-12-12,50,2020,3200224,4,0.12499125061245712
Kansas,2020-12-12,50,2020,2916451,4,0.13715299862744137
Kentucky,2020-12-12,50,2020,4494379,12,0.26700017955762073
Louisiana,2020-12-12,50,2020,4575074,13,0.28414840940277686
Maine,2020-12-12,50,2020,1384543,0,0
Maryland,2020-12-12,50,2020,6133130,0,0
Massachusetts,2020-12-12,50,2020,6978662,1,0.014329394373878545
Michigan,2020-12-12,50,2020,10032075,6,0.059808165309768915
Minnesota,2020-12-12,50,2020,5716548,0,0
Mississippi,2020-12-12,50,2020,2927305,8,0.2732889124980144
Missouri,2020-12-12,50,2020,6164537,7,0.1135527291019585
Montana,2020-12-12,50,2020,1119563,0,0
Nebraska,2020-12-12,50,2020,1961505,3,0.1529437855116352
Nevada,2020-12-12,50,2020,3165539,6,0.1895411808226024
New Hampshire,2020-12-12,50,2020,1394692,0,0
New Jersey,2020-12-12,50,2020,9254137,10,0.10805977910203836
New Mexico,2020-12-12,50,2020,2100079,1,0.04761725630321526
New York,2020-12-12,50,2020,19657190,31,0.1577031101596922
North Carolina,2020-12-12,50,2020,10596562,11,0.10380725371115651
North Dakota,2020-12-12,50,2020,772061,1,0.129523444391052
Ohio,2020-12-12,50,2020,11749303,6,0.05106685902985054
Oklahoma,2020-12-12,50,2020,4001266,7,0.1749446300245972
Oregon,2020-12-12,50,2020,4238665,0,0
Pennsylvania,2020-12-12,50,2020,12969276,11,0.0848158370598328
Puerto Rico,2020-12-12,50,2020,3221789,17,0.527657149490547
Rhode Island,2020-12-12,50,2020,1090390,0,0
South Carolina,2020-12-12,50,2020,5246039,4,0.07624800349368352
South Dakota,2020-12-12,50,2020,906458,2,0.22063901471441588
Tennessee,2020-12-12,50,2020,7030607,18,0.25602341305665355
